Date,Time,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,AQI_Label
2004-03-14,11:00:00,3.8,1482,144,14.5,1078,228,978,138,1685,1388,15.9,44.8,0.7868,Unhealthy for Sensitive Groups
2004-03-14,12:00:00,4.2,1525,160,16.2,1108,248,952,148,1712,1448,17.2,40.9,0.7905,Unhealthy for Sensitive Groups
2004-03-14,13:00:00,4.0,1505,150,15.0,1095,238,962,144,1705,1420,17.8,39.5,0.7942,Unhealthy for Sensitive Groups
2004-03-14,14:00:00,3.6,1462,135,13.2,1060,215,988,132,1678,1365,18.2,38.5,0.7965,Unhealthy for Sensitive Groups
2004-03-15,07:00:00,1.5,1215,55,5.5,780,95,1210,94,1512,1010,8.9,72.5,0.8720,Good
2004-03-15,08:00:00,2.0,1278,75,7.8,855,128,1145,105,1558,1110,10.5,65.8,0.8558,Good
2004-03-15,09:00:00,2.5,1335,95,9.8,935,158,1098,116,1598,1200,12.0,59.2,0.8368,Moderate
2004-03-15,10:00:00,3.1,1410,118,11.8,1010,192,1032,126,1645,1312,13.6,53.1,0.8178,Moderate
2004-03-15,11:00:00,3.6,1460,138,13.8,1065,220,988,138,1682,1385,15.1,47.5,0.8025,Unhealthy for Sensitive Groups
2004-03-15,12:00:00,4.0,1500,155,15.5,1098,242,958,146,1710,1440,16.5,43.2,0.7915,Unhealthy for Sensitive Groups
2004-03-16,06:00:00,0.8,1025,20,2.0,455,38,1750,65,1085,310,9.8,69.8,0.8612,Good
2004-03-16,07:00:00,1.4,1195,52,5.0,760,88,1225,92,1508,998,10.2,67.2,0.8498,Good
2004-03-16,08:00:00,2.2,1305,82,8.2,888,132,1148,106,1558,1078,11.8,61.5,0.8322,Moderate
2004-03-16,09:00:00,2.8,1368,106,10.8,968,170,1082,118,1602,1196,13.4,55.2,0.8132,Moderate
2004-03-16,10:00:00,3.4,1435,128,13.0,1042,205,1012,132,1650,1320,15.0,49.2,0.7972,Moderate
2004-03-17,08:00:00,7.5,1890,310,30.2,1330,405,762,235,1910,1855,14.5,46.8,0.7998,Very Unhealthy
2004-03-17,09:00:00,8.1,1950,338,32.8,1360,430,738,248,1935,1912,15.8,44.2,0.8075,Very Unhealthy
2004-03-17,10:00:00,8.8,2020,368,35.5,1392,458,710,262,1962,1975,17.1,41.8,0.8152,Hazardous
2004-03-17,11:00:00,9.5,2095,400,38.5,1425,488,680,278,1992,2042,18.5,39.2,0.8232,Hazardous
2004-03-17,12:00:00,10.0,2150,425,41.0,1450,510,658,290,2015,2095,19.8,37.2,0.8298,Hazardous
2004-03-17,13:00:00,9.2,2070,390,37.5,1418,480,688,272,1985,2025,20.5,36.0,0.8355,Hazardous
2004-03-17,14:00:00,8.5,1990,355,34.2,1382,450,718,258,1955,1958,21.2,34.8,0.8412,Very Unhealthy
2004-03-18,07:00:00,1.9,1260,72,7.2,840,120,1175,100,1545,1065,10.1,66.5,0.8502,Good
2004-03-18,08:00:00,2.6,1352,100,10.0,955,162,1092,114,1595,1185,11.9,59.8,0.8322,Moderate
2004-03-18,09:00:00,3.2,1422,122,12.2,1028,198,1022,126,1642,1308,13.5,53.5,0.8142,Moderate
2004-03-18,10:00:00,3.7,1472,140,14.0,1072,225,985,138,1680,1385,15.0,47.8,0.7992,Unhealthy for Sensitive Groups
2004-03-19,08:00:00,2.4,1330,92,9.2,930,155,1102,112,1592,1182,12.2,58.2,0.8298,Moderate
2004-03-19,09:00:00,3.0,1398,115,11.5,1008,188,1040,124,1638,1302,13.8,52.2,0.8118,Moderate
2004-03-19,10:00:00,3.5,1450,135,13.5,1058,218,995,136,1675,1378,15.2,46.8,0.7952,Unhealthy for Sensitive Groups
2004-03-20,09:00:00,5.2,1645,215,20.5,1192,305,865,180,1792,1628,16.8,41.2,0.8112,Unhealthy
2004-03-20,10:00:00,5.8,1712,242,23.2,1228,332,840,194,1822,1695,18.2,38.8,0.8192,Unhealthy
2004-03-20,11:00:00,6.4,1778,268,25.8,1262,358,815,208,1852,1758,19.5,36.5,0.8268,Very Unhealthy
2004-03-20,12:00:00,7.0,1848,296,28.5,1298,385,788,222,1882,1822,20.8,34.8,0.8345,Very Unhealthy
2004-03-21,07:00:00,1.3,1188,45,4.2,688,78,1388,85,1462,885,9.2,71.5,0.8705,Good
2004-03-21,08:00:00,1.8,1248,68,6.8,828,115,1192,98,1528,1058,10.8,64.8,0.8525,Good
2004-03-21,09:00:00,2.4,1328,94,9.5,935,158,1100,112,1592,1188,12.5,58.5,0.8322,Moderate
2004-03-21,10:00:00,3.0,1398,118,11.8,1008,192,1032,126,1640,1305,14.1,52.5,0.8132,Moderate
2004-03-22,08:00:00,4.4,1548,174,16.6,1132,265,912,158,1745,1542,14.8,45.5,0.8025,Unhealthy for Sensitive Groups
2004-03-22,09:00:00,5.0,1618,200,19.2,1175,292,882,172,1778,1608,16.1,42.2,0.8105,Unhealthy
2004-03-22,10:00:00,5.5,1680,225,21.8,1212,318,855,186,1808,1668,17.4,39.8,0.8178,Unhealthy
2004-03-22,11:00:00,6.1,1748,252,24.5,1250,345,825,200,1840,1732,18.8,37.5,0.8252,Very Unhealthy
2004-03-23,09:00:00,2.2,1308,85,8.5,898,142,1122,108,1578,1162,11.5,61.2,0.8352,Moderate
2004-03-23,10:00:00,2.8,1372,108,10.8,972,175,1062,120,1622,1272,13.2,54.8,0.8165,Moderate
2004-03-23,11:00:00,3.3,1428,128,12.8,1038,205,1015,132,1658,1352,14.8,49.0,0.7998,Moderate
2004-03-24,08:00:00,1.6,1228,60,5.8,798,102,1208,96,1522,1032,10.2,66.8,0.8568,Good
2004-03-24,09:00:00,2.2,1305,82,8.2,882,135,1145,108,1565,1145,11.8,60.5,0.8375,Moderate
2004-03-24,10:00:00,2.8,1368,105,10.5,958,168,1085,120,1608,1260,13.4,54.5,0.8182,Moderate
2004-03-25,09:00:00,3.8,1488,145,14.2,1080,228,975,140,1688,1392,15.8,44.8,0.7882,Unhealthy for Sensitive Groups
2004-03-25,10:00:00,4.3,1535,165,16.5,1115,252,948,152,1718,1455,17.2,40.8,0.7948,Unhealthy for Sensitive Groups
2004-03-25,11:00:00,4.8,1588,188,18.8,1150,278,918,165,1748,1518,18.5,38.2,0.8015,Unhealthy
2004-03-26,08:00:00,2.0,1272,75,7.5,848,122,1168,102,1548,1082,11.2,63.2,0.8428,Moderate
2004-03-26,09:00:00,2.6,1345,98,9.8,938,158,1100,114,1598,1198,12.8,56.9,0.8238,Moderate
